,Entity,Code,Year,Total.alcohol.consumption.per.capita..liters.of.pure.alcohol..projected.estimates..15..years.of.age.
,Belgium,BEL,2004,
22,Belgium,BEL,2005,13.13000011
,Belgium,BEL,2006,
,Belgium,BEL,2007,
,Belgium,BEL,2008,
,Belgium,BEL,2009,
23,Belgium,BEL,2010,11.39999962
,Belgium,BEL,2011,
,Belgium,BEL,2012,
,Belgium,BEL,2013,
,Belgium,BEL,2014,
24,Belgium,BEL,2015,11.81999969
25,Belgium,BEL,2018,11.07999992
26,Bulgaria,BGR,2000,11.80000019
,Bulgaria,BGR,2001,
,Bulgaria,BGR,2002,
,Bulgaria,BGR,2003,
,Bulgaria,BGR,2004,
27,Bulgaria,BGR,2005,11.42000008
,Bulgaria,BGR,2006,
,Bulgaria,BGR,2007,
,Bulgaria,BGR,2008,
,Bulgaria,BGR,2009,
28,Bulgaria,BGR,2010,11.31999969
,Bulgaria,BGR,2011,
,Bulgaria,BGR,2012,
,Bulgaria,BGR,2013,
,Bulgaria,BGR,2014,
29,Bulgaria,BGR,2015,12.34000015
,Bulgaria,BGR,2016,
,Bulgaria,BGR,2017,
30,Bulgaria,BGR,2018,12.64999962
31,Croatia,HRV,2000,12.44999981
,Croatia,HRV,2001,
,Croatia,HRV,2002,
,Croatia,HRV,2003,
,Croatia,HRV,2004,
32,Croatia,HRV,2005,10.31000042
,Croatia,HRV,2006,
,Croatia,HRV,2007,
,Croatia,HRV,2008,
,Croatia,HRV,2009,
33,Croatia,HRV,2010,10.07999992
,Croatia,HRV,2011,
,Croatia,HRV,2012,
,Croatia,HRV,2013,
,Croatia,HRV,2014,
34,Croatia,HRV,2015,9.069999695
,Croatia,HRV,2016,
,Croatia,HRV,2017,
35,Croatia,HRV,2018,9.229999542
36,Cyprus,CYP,2000,10.85999966
,Cyprus,CYP,2001,
,Cyprus,CYP,2002,
,Cyprus,CYP,2003,
,Cyprus,CYP,2004,
37,Cyprus,CYP,2005,12.43000031
,Cyprus,CYP,2006,
,Cyprus,CYP,2007,
,Cyprus,CYP,2008,
,Cyprus,CYP,2009,
38,Cyprus,CYP,2010,11.35000038
,Cyprus,CYP,2011,
,Cyprus,CYP,2012,
,Cyprus,CYP,2013,
,Cyprus,CYP,2014,
39,Cyprus,CYP,2015,10.76000023
,Cyprus,CYP,2016,
,Cyprus,CYP,2017,
40,Cyprus,CYP,2018,10.81000042
41,Denmark,DNK,2000,12.67000008
,Denmark,DNK,2001,
,Denmark,DNK,2002,
,Denmark,DNK,2003,
,Denmark,DNK,2004,
42,Denmark,DNK,2005,12.28999996
,Denmark,DNK,2006,
,Denmark,DNK,2007,
,Denmark,DNK,2007,
,Denmark,DNK,2009,
43,Denmark,DNK,2010,11
,Denmark,DNK,2011,
,Denmark,DNK,2012,
,Denmark,DNK,2013,
,Denmark,DNK,2014,
44,Denmark,DNK,2015,10.35999966
,Denmark,DNK,2016,
,Denmark,DNK,2017,
45,Denmark,DNK,2018,10.26000023
46,Estonia,EST,2000,9.569999695
,Estonia,EST,2001,
,Estonia,EST,2002,
,Estonia,EST,2003,
,Estonia,EST,2004,
47,Estonia,EST,2005,15.64999962
,Estonia,EST,2006,
,Estonia,EST,2007,
,Estonia,EST,2008,
,Estonia,EST,2009,
48,Estonia,EST,2010,12.39000034
49,Estonia,EST,2015,12.39000034
,Estonia,EST,2016,
,Estonia,EST,2017,
50,Estonia,EST,2018,9.229999542
51,Finland,FIN,2000,11.68999958
,Finland,FIN,2001,
,Finland,FIN,2002,
,Finland,FIN,2003,
,Finland,FIN,2004,
52,Finland,FIN,2005,13.10999966
,Finland,FIN,2006,
,Finland,FIN,2007,
,Finland,FIN,2008,
,Finland,FIN,2009,
53,Finland,FIN,2010,12.59000015
,Finland,FIN,2011,
,Finland,FIN,2012,
,Finland,FIN,2013,
,Finland,FIN,2014,
54,Finland,FIN,2015,11.18000031
,Finland,FIN,2016,
,Finland,FIN,2017,
55,Finland,FIN,2018,10.77999973
56,France,FRA,2000,14.07999992
,France,FRA,2001,
,France,FRA,2002,
,France,FRA,2003,
,France,FRA,2004,
57,France,FRA,2005,13.09000015
,France,FRA,2006,
,France,FRA,2007,
,France,FRA,2008,
,France,FRA,2009,
58,France,FRA,2010,12.39999962
,France,FRA,2011,
,France,FRA,2012,
,France,FRA,2013,
,France,FRA,2014,
59,France,FRA,2015,12.64000034
,France,FRA,2016,
,France,FRA,2017,
60,France,FRA,2018,12.32999992
61,Georgia,GEO,2000,4.409999847
,Georgia,GEO,2001,
,Georgia,GEO,2002,
,Georgia,GEO,2003,
,Georgia,GEO,2004,
62,Georgia,GEO,2005,6.389999866
,Georgia,GEO,2006,
,Georgia,GEO,2007,
,Georgia,GEO,2008,
,Georgia,GEO,2009,
63,Georgia,GEO,2010,9.670000076
,Georgia,GEO,2011,
,Georgia,GEO,2012,
,Georgia,GEO,2013,
,Georgia,GEO,2014,
64,Georgia,GEO,2015,9.609999657
,Georgia,GEO,2016,
,Georgia,GEO,2017,
65,Georgia,GEO,2018,8.25
66,Germany,DEU,2000,14.15999985
,Germany,DEU,2001,
,Germany,DEU,2002,
,Germany,DEU,2003,
,Germany,DEU,2004,
67,Germany,DEU,2005,13.27999973
,Germany,DEU,2006,
,Germany,DEU,2007,
,Germany,DEU,2008,
,Germany,DEU,2009,
68,Germany,DEU,2010,12.64000034
,Germany,DEU,2011,
,Germany,DEU,2012,
,Germany,DEU,2013,
,Germany,DEU,2014,
69,Germany,DEU,2015,13.06000042
,Germany,DEU,2016,
,Germany,DEU,2017,
70,Germany,DEU,2018,12.90999985
71,Greece,GRC,2000,10.18000031
,Greece,GRC,2001,
,Greece,GRC,2002,
,Greece,GRC,2003,
,Greece,GRC,2004,
72,Greece,GRC,2005,10.72999954
,Greece,GRC,2006,
,Greece,GRC,2007,
,Greece,GRC,2008,
,Greece,GRC,2009,
73,Greece,GRC,2010,9.670000076
74,Greece,GRC,2015,10.48999977
,Greece,GRC,2016,
,Greece,GRC,2017,
75,Greece,GRC,2018,10.18000031
76,Hungary,HUN,2000,14.27000046
,Hungary,HUN,2001,
,Hungary,HUN,2002,
,Hungary,HUN,2003,
,Hungary,HUN,2004,
77,Hungary,HUN,2005,14.56000042
,Hungary,HUN,2006,
,Hungary,HUN,2007,
,Hungary,HUN,2008,
,Hungary,HUN,2009,
78,Hungary,HUN,2010,12.09000015
,Hungary,HUN,2011,
,Hungary,HUN,2012,
,Hungary,HUN,2013,
,Hungary,HUN,2014,
79,Hungary,HUN,2015,11.60000038
,Hungary,HUN,2016,
,Hungary,HUN,2017,
80,Hungary,HUN,2018,11.35000038
81,Iceland,ISL,2000,7.03000021
,Iceland,ISL,2001,
,Iceland,ISL,2002,
,Iceland,ISL,2003,
,Iceland,ISL,2004,
82,Iceland,ISL,2005,7.739999771
,Iceland,ISL,2006,
,Iceland,ISL,2007,
,Iceland,ISL,2008,
,Iceland,ISL,2009,
83,Iceland,ISL,2010,7.5
,Iceland,ISL,2011,
,Iceland,ISL,2012,
,Iceland,ISL,2013,
,Iceland,ISL,2014,
84,Iceland,ISL,2015,8.739999771
,Iceland,ISL,2016,
,Iceland,ISL,2017,
85,Iceland,ISL,2018,9.119999886
86,Ireland,IRL,2000,15.13000011
,Ireland,IRL,2001,
,Ireland,IRL,2002,
,Ireland,IRL,2003,
,Ireland,IRL,2004,
87,Ireland,IRL,2005,14.19999981
,Ireland,IRL,2006,
,Ireland,IRL,2007,
,Ireland,IRL,2008,
,Ireland,IRL,2009,
88,Ireland,IRL,2010,12.06999969
,Ireland,IRL,2011,
,Ireland,IRL,2012,
,Ireland,IRL,2013,
,Ireland,IRL,2014,
89,Ireland,IRL,2015,12.47000027
,Ireland,IRL,2016,
,Ireland,IRL,2017,
90,Ireland,IRL,2018,12.88000011
91,Italy,ITA,2000,10.36999989
,Italy,ITA,2001,
,Italy,ITA,2002,
,Italy,ITA,2003,
,Italy,ITA,2004,
92,Italy,ITA,2005,9.409999847
93,Italy,ITA,2010,7.340000153
,Italy,ITA,2011,
,Italy,ITA,2012,
,Italy,ITA,2013,
,Italy,ITA,2014,
94,Italy,ITA,2015,7.590000153
,Italy,ITA,2016,
,Italy,ITA,2017,
95,Italy,ITA,2018,7.840000153
96,Latvia,LVA,2000,8.760000229
,Latvia,LVA,2001,
,Latvia,LVA,2002,
,Latvia,LVA,2003,
,Latvia,LVA,2004,
97,Latvia,LVA,2005,11.96000004
,Latvia,LVA,2006,
,Latvia,LVA,2007,
,Latvia,LVA,2008,
,Latvia,LVA,2009,
98,Latvia,LVA,2010,11.63000011
,Latvia,LVA,2011,
,Latvia,LVA,2012,
,Latvia,LVA,2013,
,Latvia,LVA,2014,
99,Latvia,LVA,2015,12.64000034
,Latvia,LVA,2016,
,Latvia,LVA,2017,
100,Latvia,LVA,2018,12.77000046
101,Lithuania,LTU,2000,13.35999966
,Lithuania,LTU,2001,
,Lithuania,LTU,2002,
,Lithuania,LTU,2003,
,Lithuania,LTU,2004,
102,Lithuania,LTU,2005,16.10000038
,Lithuania,LTU,2006,
,Lithuania,LTU,2007,
,Lithuania,LTU,2008,
,Lithuania,LTU,2009,
103,Lithuania,LTU,2010,15.25
,Lithuania,LTU,2011,
,Lithuania,LTU,2012,
,Lithuania,LTU,2013,
,Lithuania,LTU,2014,
104,Lithuania,LTU,2015,15.38000011
,Lithuania,LTU,2016,
,Lithuania,LTU,2017,
105,Lithuania,LTU,2018,13.22000027
106,Luxembourg,LUX,2000,14.31999969
,Luxembourg,LUX,2001,
,Luxembourg,LUX,2002,
,Luxembourg,LUX,2003,
,Luxembourg,LUX,2004,
107,Luxembourg,LUX,2005,13.57999992
,Luxembourg,LUX,2006,
,Luxembourg,LUX,2007,
,Luxembourg,LUX,2008,
,Luxembourg,LUX,2009,
108,Luxembourg,LUX,2010,12.97999954
,Luxembourg,LUX,2011,
,Luxembourg,LUX,2012,
,Luxembourg,LUX,2013,
,Luxembourg,LUX,2014,
109,Luxembourg,LUX,2015,13.18000031
,Luxembourg,LUX,2016,
,Luxembourg,LUX,2017,
,Luxembourg,LUX,2018,
,Luxembourg,LUX,2019,
110,Luxembourg,LUX,2018,12.93999958
111,Malta,MLT,2000,5.71999979
,Malta,MLT,2001,
,Malta,MLT,2002,
,Malta,MLT,2003,
,Malta,MLT,2004,
112,Malta,MLT,2005,6.650000095
,Malta,MLT,2006,
,Malta,MLT,2007,
,Malta,MLT,2008,
,Malta,MLT,2009,
113,Malta,MLT,2010,6.579999924
,Malta,MLT,2011,
,Malta,MLT,2012,
,Malta,MLT,2013,
,Malta,MLT,2014,
114,Malta,MLT,2015,7.559999943
,Malta,MLT,2016,
,Malta,MLT,2017,
115,Malta,MLT,2018,7.989999771
116,Moldova,MDA,2000,13.89000034
,Moldova,MDA,2001,
,Moldova,MDA,2002,
,Moldova,MDA,2003,
,Moldova,MDA,2004,
117,Moldova,MDA,2005,19.95000076
,Moldova,MDA,2006,
,Moldova,MDA,2007,
,Moldova,MDA,2008,
,Moldova,MDA,2009,
118,Moldova,MDA,2010,15.53999996
,Moldova,MDA,2011,
,Moldova,MDA,2012,
,Moldova,MDA,2013,
,Moldova,MDA,2014,
119,Moldova,MDA,2015,11.86999989
,Moldova,MDA,2016,
,Moldova,MDA,2017,
120,Moldova,MDA,2018,11.43000031
124,Netherlands,NLD,2000,11.07999992
125,Netherlands,NLD,2005,10.71000004
126,Netherlands,NLD,2010,10.21000004
,Netherlands,NLD,2011,
,Netherlands,NLD,2012,
,Netherlands,NLD,2013,
,Netherlands,NLD,2014,
127,Netherlands,NLD,2015,9.550000191
,Netherlands,NLD,2016,
,Netherlands,NLD,2017,
128,Netherlands,NLD,2018,9.609999657
129,North Macedonia,MKD,2000,7.309999943
,North Macedonia,MKD,2001,
,North Macedonia,MKD,2002,
,North Macedonia,MKD,2003,
,North Macedonia,MKD,2004,
130,North Macedonia,MKD,2005,7.03000021
,North Macedonia,MKD,2006,
,North Macedonia,MKD,2007,
,North Macedonia,MKD,2008,
,North Macedonia,MKD,2009,
131,North Macedonia,MKD,2010,5.929999828
,North Macedonia,MKD,2011,
,North Macedonia,MKD,2012,
,North Macedonia,MKD,2013,
,North Macedonia,MKD,2014,
132,North Macedonia,MKD,2015,5.929999828
133,North Macedonia,MKD,2018,6.159999847
134,Norway,NOR,2000,7.949999809
,Norway,NOR,2001,
,Norway,NOR,2002,
,Norway,NOR,2003,
,Norway,NOR,2004,
135,Norway,NOR,2005,8.869999886
,Norway,NOR,2006,
,Norway,NOR,2007,
,Norway,NOR,2008,
,Norway,NOR,2009,
136,Norway,NOR,2010,8.93999958
,Norway,NOR,2011,
,Norway,NOR,2012,
,Norway,NOR,2013,
,Norway,NOR,2014,
137,Norway,NOR,2015,7.519999981
,Norway,NOR,2016,
,Norway,NOR,2017,
138,Norway,NOR,2018,7.409999847
139,Poland,POL,2000,9.170000076
,Poland,POL,2001,
,Poland,POL,2002,
,Poland,POL,2003,
,Poland,POL,2004,
140,Poland,POL,2005,10.60000038
,Poland,POL,2006,
,Poland,POL,2007,
,Poland,POL,2008,
,Poland,POL,2009,
141,Poland,POL,2010,11.21000004
,Poland,POL,2011,
,Poland,POL,2012,
,Poland,POL,2013,
,Poland,POL,2014,
142,Poland,POL,2015,11.63000011
,Poland,POL,2016,
,Poland,POL,2071,
143,Poland,POL,2018,11.71000004
144,Portugal,PRT,2000,14.07999992
,Portugal,PRT,2001,
,Portugal,PRT,2002,
,Portugal,PRT,2003,
,Portugal,PRT,2004,
145,Portugal,PRT,2005,13.36999989
,Portugal,PRT,2006,
,Portugal,PRT,2007,
,Portugal,PRT,2008,
,Portugal,PRT,2009,
146,Portugal,PRT,2010,12.51000023
,Portugal,PRT,2011,
,Portugal,PRT,2012,
,Portugal,PRT,2013,
,Portugal,PRT,2014,
147,Portugal,PRT,2015,11.88000011
,Portugal,PRT,2016,
,Portugal,PRT,2017,
148,Portugal,PRT,2018,12.02999973
149,Romania,ROU,2000,17.45000076
,Romania,ROU,2001,
,Romania,ROU,2002,
,Romania,ROU,2003,
,Romania,ROU,2004,
150,Romania,ROU,2005,15.84000015
,Romania,ROU,2006,
,Romania,ROU,2007,
,Romania,ROU,2008,
,Romania,ROU,2009,
151,Romania,ROU,2010,13.97000027
,Romania,ROU,2011,
,Romania,ROU,2012,
,Romania,ROU,2013,
,Romania,ROU,2014,
152,Romania,ROU,2015,11.64000034
,Romania,ROU,2016,
,Romania,ROU,2017,
153,Romania,ROU,2018,11.73999977
154,Russia,RUS,2000,15.72999954
,Russia,RUS,2001,
,Russia,RUS,2002,
,Russia,RUS,2003,
,Russia,RUS,2004,
155,Russia,RUS,2005,17.36000061
,Russia,RUS,2006,
,Russia,RUS,2007,
,Russia,RUS,2008,
,Russia,RUS,2009,
156,Russia,RUS,2010,15.86999989
157,Russia,RUS,2015,12.47000027
,Russia,RUS,2016,
,Russia,RUS,2017,
158,Russia,RUS,2018,11.18999958
162,Slovakia,SVK,2000,12.47000027
,Slovakia,SVK,2001,
,Slovakia,SVK,2002,
,Slovakia,SVK,2003,
,Slovakia,SVK,2004,
163,Slovakia,SVK,2005,12.06000042
,Slovakia,SVK,2006,
,Slovakia,SVK,2007,
,Slovakia,SVK,2008,
,Slovakia,SVK,2009,
164,Slovakia,SVK,2010,12
,Slovakia,SVK,2011,
,Slovakia,SVK,2012,
,Slovakia,SVK,2013,
,Slovakia,SVK,2014,
165,Slovakia,SVK,2015,11.52999973
,Slovakia,SVK,2016,
,Slovakia,SVK,2017,
166,Slovakia,SVK,2018,11.14000034
167,Slovenia,SVN,2000,12.60000038
,Slovenia,SVN,2001,
,Slovenia,SVN,2002,
,Slovenia,SVN,2003,
,Slovenia,SVN,2004,
168,Slovenia,SVN,2005,12.30000019
,Slovenia,SVN,2006,
,Slovenia,SVN,2007,
,Slovenia,SVN,2008,
,Slovenia,SVN,2009,
169,Slovenia,SVN,2010,11.53999996
,Slovenia,SVN,2011,
,Slovenia,SVN,2012,
,Slovenia,SVN,2013,
,Slovenia,SVN,2014,
170,Slovenia,SVN,2015,12.73999977
,Slovenia,SVN,2016,
,Slovenia,SVN,2017,
171,Slovenia,SVN,2018,11.89999962
172,Spain,ESP,2000,12.43000031
,Spain,ESP,2001,
,Spain,ESP,2002,
,Spain,ESP,2003,
,Spain,ESP,2004,
173,Spain,ESP,2005,12.82999992
,Spain,ESP,2006,
,Spain,ESP,2007,
,Spain,ESP,2008,
,Spain,ESP,2009,
174,Spain,ESP,2010,10.02999973
,Spain,ESP,2011,
,Spain,ESP,2012,
,Spain,ESP,2013,
,Spain,ESP,2014,
175,Spain,ESP,2015,11.31999969
,Spain,ESP,2016,
,Spain,ESP,2017,
176,Spain,ESP,2018,12.72000027
177,Sweden,SWE,2000,8.529999733
,Sweden,SWE,2001,
,Sweden,SWE,2002,
,Sweden,SWE,2003,
,Sweden,SWE,2004,
178,Sweden,SWE,2005,8.640000343
,Sweden,SWE,2006,
,Sweden,SWE,2007,
,Sweden,SWE,2008,
,Sweden,SWE,2009,
179,Sweden,SWE,2010,9.489999771
,Sweden,SWE,2011,
,Sweden,SWE,2012,
,Sweden,SWE,2013,
,Sweden,SWE,2014,
180,Sweden,SWE,2015,9.130000114
,Sweden,SWE,2016,
,Sweden,SWE,2017,
181,Sweden,SWE,2018,8.930000305
182,Switzerland,CHE,2000,12.48999977
,Switzerland,CHE,2001,
,Switzerland,CHE,2002,
,Switzerland,CHE,2003,
,Switzerland,CHE,2004,
183,Switzerland,CHE,2005,11.64000034
,Switzerland,CHE,2006,
,Switzerland,CHE,2007,
,Switzerland,CHE,2008,
,Switzerland,CHE,2009,
184,Switzerland,CHE,2010,11.40999985
,Switzerland,CHE,2011,
,Switzerland,CHE,2012,
,Switzerland,CHE,2013,
,Switzerland,CHE,2014,
185,Switzerland,CHE,2015,11.57999992
,Switzerland,CHE,2016,
,Switzerland,CHE,2017,
186,Switzerland,CHE,2018,11.52999973
187,Turkey,TUR,2000,2.410000086
,Turkey,TUR,2001,
,Turkey,TUR,2002,
,Turkey,TUR,2003,
,Turkey,TUR,2004,
188,Turkey,TUR,2005,2.119999886
,Turkey,TUR,2006,
,Turkey,TUR,2007,
,Turkey,TUR,2008,
,Turkey,TUR,2009,
189,Turkey,TUR,2010,2.319999933
,Turkey,TUR,2011,
,Turkey,TUR,2012,
,Turkey,TUR,2013,
,Turkey,TUR,2014,
190,Turkey,TUR,2015,2.119999886
191,Turkey,TUR,2018,2.049999952
192,United Kingdom,GBR,2000,13.72999954
,United Kingdom,GBR,2001,
,United Kingdom,GBR,2002,
,United Kingdom,GBR,2003,
,United Kingdom,GBR,2004,
193,United Kingdom,GBR,2005,13.89000034
,United Kingdom,GBR,2006,
,United Kingdom,GBR,2007,
,United Kingdom,GBR,2008,
,United Kingdom,GBR,2009,
194,United Kingdom,GBR,2010,12.06000042
,United Kingdom,GBR,2011,
,United Kingdom,GBR,2012,
,United Kingdom,GBR,2013,
,United Kingdom,GBR,2014,
195,United Kingdom,GBR,2015,11.21000004
,United Kingdom,GBR,2016,
,United Kingdom,GBR,2017,
,United Kingdom,GBR,2018,
,United Kingdom,GBR,2019,
196,United Kingdom,GBR,2018,11.44999981
